,n_step,energy,average_magnetization
339,339.0,-9.0,0.0
340,340.0,-11.0,0.375
341,341.0,-11.0,0.4375
342,342.0,-15.0,0.5
343,343.0,-15.0,0.375
344,344.0,-19.0,0.4375
345,345.0,-7.0,0.125
346,346.0,-9.0,0.0625
347,347.0,-9.0,0.1875
348,348.0,-15.0,0.3125
349,349.0,-13.0,0.25
350,350.0,-13.0,-0.0625
351,351.0,-7.0,0.125
352,352.0,-17.0,0.5625
353,353.0,-15.0,0.1875
354,354.0,-11.0,0.0
355,355.0,-7.0,0.375
356,356.0,-17.0,0.375
357,357.0,-15.0,0.25
358,358.0,-7.0,0.3125
359,359.0,-13.0,-0.0625
360,360.0,-19.0,-0.5625
361,361.0,-13.0,-0.375
362,362.0,-15.0,-0.625
363,363.0,-19.0,-0.6875
364,364.0,-17.0,-0.5
365,365.0,-21.0,-0.625
366,366.0,-13.0,-0.1875
367,367.0,-21.0,-0.25
368,368.0,-11.0,-0.1875
369,369.0,-1.0,0.125
370,370.0,-13.0,-0.25
371,371.0,-7.0,-0.1875
372,372.0,-15.0,0.375
373,373.0,-5.0,-0.0625
374,374.0,-19.0,-0.0625
375,375.0,-15.0,0.0
376,376.0,-9.0,0.25
377,377.0,-11.0,0.1875
378,378.0,-13.0,-0.0625
379,379.0,-7.0,0.0
380,380.0,-9.0,0.0625
381,381.0,-13.0,-0.25
382,382.0,-15.0,0.1875
383,383.0,-15.0,0.3125
384,384.0,-13.0,0.1875
385,385.0,-15.0,0.0625
386,386.0,-9.0,0.3125
387,387.0,-3.0,0.125
388,388.0,-9.0,0.0
389,389.0,-11.0,-0.375
390,390.0,-9.0,-0.375
391,391.0,-7.0,-0.375
392,392.0,-3.0,-0.3125
393,393.0,-11.0,0.0
394,394.0,-11.0,0.0625
395,395.0,-15.0,0.3125
396,396.0,-15.0,0.5625
397,397.0,-21.0,0.5625
398,398.0,-15.0,0.4375
399,399.0,-3.0,0.0625
400,400.0,-17.0,0.25
401,401.0,-19.0,0.0625
402,402.0,-1.0,0.0625
403,403.0,-9.0,-0.0625
404,404.0,-9.0,-0.125
405,405.0,-19.0,-0.4375
406,406.0,-17.0,-0.3125
407,407.0,-9.0,-0.3125
408,408.0,-1.0,-0.0625
409,409.0,-5.0,0.0
410,410.0,-15.0,0.25
411,411.0,-9.0,0.3125
412,412.0,-9.0,0.375
413,413.0,-17.0,0.5625
414,414.0,-17.0,0.5625
415,415.0,-19.0,0.125
416,416.0,-17.0,0.0
417,417.0,-13.0,0.5
418,418.0,-11.0,0.125
419,419.0,-11.0,0.0625
420,420.0,-11.0,0.0625
421,421.0,-11.0,0.4375
422,422.0,-9.0,0.25
423,423.0,-13.0,0.125
424,424.0,-13.0,0.0625
425,425.0,-19.0,0.125
426,426.0,-17.0,0.25
427,427.0,-19.0,0.0625
428,428.0,-19.0,0.5
429,429.0,-13.0,0.25
430,430.0,-21.0,0.5625
431,431.0,-11.0,0.5
432,432.0,-13.0,0.5
433,433.0,-17.0,0.5
434,434.0,-19.0,0.5
435,435.0,-15.0,0.3125
436,436.0,-15.0,0.5
437,437.0,-15.0,0.375
438,438.0,-17.0,0.125
439,439.0,-13.0,0.25
440,440.0,-9.0,0.0625
441,441.0,-13.0,0.1875
442,442.0,-7.0,0.0625
443,443.0,-15.0,0.5625
444,444.0,-15.0,0.4375
445,445.0,-13.0,0.5
446,446.0,-7.0,0.3125
447,447.0,-15.0,0.5
448,448.0,-25.0,0.75
449,449.0,-17.0,0.3125
450,450.0,-13.0,0.4375
451,451.0,-13.0,0.1875
452,452.0,-11.0,0.125
453,453.0,-3.0,0.0
454,454.0,-9.0,0.0
455,455.0,-13.0,0.25
456,456.0,-11.0,0.0625
457,457.0,-11.0,0.375
458,458.0,-19.0,0.4375
459,459.0,-17.0,0.6875
460,460.0,-17.0,0.5625
461,461.0,-15.0,0.375
462,462.0,-9.0,0.375
463,463.0,-9.0,0.25
464,464.0,-15.0,0.5
465,465.0,-11.0,0.0
466,466.0,-15.0,-0.25
467,467.0,-17.0,-0.4375
468,468.0,-13.0,-0.375
469,469.0,-13.0,0.0625
470,470.0,-9.0,-0.0625
471,471.0,-11.0,-0.4375
472,472.0,-5.0,-0.1875
473,473.0,-17.0,-0.375
474,474.0,-17.0,-0.375
475,475.0,-15.0,-0.3125
476,476.0,-5.0,0.0625
477,477.0,-19.0,0.4375
478,478.0,-15.0,0.4375
479,479.0,-5.0,0.125
480,480.0,-11.0,0.0
481,481.0,-19.0,-0.4375
482,482.0,-11.0,-0.0625
483,483.0,-17.0,-0.125
484,484.0,-21.0,0.125
485,485.0,-1.0,-0.25
486,486.0,-9.0,-0.25
487,487.0,3.0,0.1875
488,488.0,-7.0,0.125
489,489.0,-7.0,0.125
490,490.0,-13.0,0.375
491,491.0,-7.0,0.1875
492,492.0,-15.0,0.3125
493,493.0,-15.0,0.3125
494,494.0,-15.0,0.5
495,495.0,-13.0,0.5
496,496.0,-11.0,0.5
497,497.0,-17.0,0.375
498,498.0,-5.0,0.25
499,499.0,-15.0,0.125
500,500.0,-21.0,0.5625
501,501.0,-21.0,0.5
502,502.0,-19.0,0.4375
503,503.0,-17.0,0.25
504,504.0,-15.0,0.1875
505,505.0,-15.0,0.5
506,506.0,-13.0,0.1875
507,507.0,-9.0,-0.0625
508,508.0,-11.0,-0.125
509,509.0,-15.0,0.3125
510,510.0,-5.0,0.25
511,511.0,-11.0,-0.125
512,512.0,-15.0,-0.3125
513,513.0,-5.0,-0.0625
514,514.0,-17.0,-0.5625
515,515.0,-15.0,-0.5625
516,516.0,-23.0,-0.75
517,517.0,-13.0,-0.375
518,518.0,-13.0,-0.3125
519,519.0,-13.0,-0.5625
520,520.0,-7.0,-0.3125
521,521.0,-15.0,-0.375
522,522.0,-5.0,0.0
523,523.0,-11.0,0.125
524,524.0,-9.0,-0.0625
525,525.0,-15.0,0.125
526,526.0,-5.0,-0.0625
527,527.0,-11.0,-0.1875
528,528.0,-21.0,-0.5
529,529.0,-11.0,-0.125
530,530.0,-7.0,-0.125
531,531.0,-11.0,-0.25
532,532.0,-9.0,-0.25
533,533.0,-19.0,-0.5625
534,534.0,-23.0,-0.625
535,535.0,-7.0,-0.25
536,536.0,-19.0,-0.375
537,537.0,-25.0,-0.5625
538,538.0,-13.0,-0.3125
539,539.0,1.0,-0.125
540,540.0,-13.0,-0.125
541,541.0,-13.0,-0.1875
542,542.0,-19.0,-0.5
543,543.0,-15.0,-0.3125
544,544.0,-15.0,-0.375
545,545.0,-17.0,-0.1875
546,546.0,-13.0,-0.1875
547,547.0,-19.0,0.1875
548,548.0,-17.0,0.1875
549,549.0,-17.0,0.1875
550,550.0,-15.0,0.125
551,551.0,-17.0,0.1875
552,552.0,-7.0,0.125
553,553.0,-17.0,0.0625
554,554.0,-11.0,-0.25
555,555.0,-5.0,-0.125
556,556.0,1.0,-0.25
557,557.0,-11.0,0.0
558,558.0,-17.0,0.0
559,559.0,-19.0,-0.25
560,560.0,-11.0,0.125
561,561.0,-9.0,0.0625
562,562.0,-11.0,0.0
563,563.0,-3.0,0.0
564,564.0,-13.0,-0.3125
565,565.0,-11.0,-0.375
566,566.0,-17.0,-0.1875
567,567.0,-11.0,-0.1875
568,568.0,-11.0,-0.375
569,569.0,-21.0,-0.6875
570,570.0,-15.0,-0.625
571,571.0,-17.0,-0.4375
572,572.0,-15.0,-0.1875
573,573.0,-13.0,-0.0625
574,574.0,-7.0,0.4375
575,575.0,-11.0,0.5
576,576.0,-17.0,0.4375
577,577.0,-9.0,0.25
578,578.0,-17.0,-0.0625
579,579.0,-9.0,0.375
580,580.0,-13.0,0.0
581,581.0,-15.0,0.1875
582,582.0,-21.0,0.625
583,583.0,-23.0,0.625
584,584.0,-7.0,0.3125
585,585.0,-7.0,0.0625
586,586.0,-9.0,0.1875
587,587.0,-13.0,0.25
588,588.0,-13.0,0.0625
589,589.0,-5.0,-0.0625
590,590.0,-9.0,0.0
591,591.0,-13.0,0.25
592,592.0,-15.0,0.125
593,593.0,-15.0,-0.125
594,594.0,-13.0,0.125
595,595.0,-3.0,0.0625
596,596.0,-5.0,0.25
597,597.0,-1.0,0.125
598,598.0,-19.0,-0.25
599,599.0,-25.0,-0.625
600,600.0,-9.0,-0.3125
601,601.0,-11.0,-0.375
602,602.0,-17.0,-0.5
603,603.0,-5.0,-0.3125
604,604.0,-15.0,0.0625
605,605.0,-11.0,-0.0625
606,606.0,-11.0,0.125
607,607.0,-9.0,0.3125
608,608.0,-13.0,0.3125
609,609.0,-13.0,0.5
610,610.0,-15.0,0.4375
611,611.0,-11.0,0.125
612,612.0,-15.0,0.0
613,613.0,-7.0,-0.0625
614,614.0,3.0,0.125
615,615.0,-21.0,-0.375
616,616.0,-21.0,-0.4375
617,617.0,-21.0,-0.625
618,618.0,-3.0,-0.3125
619,619.0,-21.0,-0.625
620,620.0,-9.0,-0.375
621,621.0,-15.0,-0.5
622,622.0,-11.0,-0.1875
623,623.0,-13.0,-0.25
624,624.0,-5.0,0.125
625,625.0,-19.0,-0.3125
626,626.0,-17.0,-0.375
627,627.0,-17.0,-0.375
628,628.0,-5.0,0.0625
629,629.0,-17.0,0.0
630,630.0,1.0,-0.125
631,631.0,-15.0,-0.375
632,632.0,-13.0,-0.4375
633,633.0,-19.0,-0.5
634,634.0,-17.0,-0.5
635,635.0,-13.0,-0.4375
636,636.0,-9.0,-0.3125
637,637.0,-5.0,-0.125
638,638.0,-5.0,-0.125
639,639.0,-5.0,0.0
640,640.0,-9.0,-0.0625
641,641.0,-21.0,0.0
642,642.0,-19.0,-0.375
643,643.0,-13.0,-0.0625
644,644.0,-5.0,-0.1875
645,645.0,-5.0,-0.0625
646,646.0,-11.0,-0.1875
647,647.0,-9.0,-0.1875
648,648.0,-13.0,-0.4375
649,649.0,-21.0,-0.5625
650,650.0,-5.0,-0.125
651,651.0,-19.0,0.0
652,652.0,-13.0,-0.1875
653,653.0,-15.0,-0.0625
654,654.0,-7.0,0.0625
655,655.0,-11.0,-0.25
656,656.0,-17.0,-0.3125
657,657.0,-9.0,-0.1875
658,658.0,-11.0,-0.125
659,659.0,-3.0,0.0625
660,660.0,-11.0,-0.25
661,661.0,-11.0,-0.125
662,662.0,-9.0,0.0625
663,663.0,-7.0,0.0
664,664.0,-9.0,-0.375
665,665.0,-7.0,-0.3125
666,666.0,-11.0,-0.1875
667,667.0,-3.0,0.0625
668,668.0,-5.0,0.25
669,669.0,-15.0,0.375
670,670.0,-15.0,0.5
671,671.0,-17.0,0.375
672,672.0,-7.0,-0.1875
673,673.0,-15.0,0.0625
674,674.0,-17.0,-0.5
675,675.0,-11.0,-0.25
676,676.0,-17.0,0.1875
677,677.0,-13.0,0.25
678,678.0,-15.0,0.4375
679,679.0,-15.0,0.3125
680,680.0,-13.0,0.3125
681,681.0,-13.0,0.25
682,682.0,-11.0,0.0
683,683.0,-13.0,0.3125
684,684.0,-11.0,0.25
685,685.0,-17.0,0.0625
686,686.0,-17.0,0.4375
687,687.0,-13.0,0.4375
688,688.0,-15.0,0.4375
689,689.0,-9.0,0.3125
690,690.0,-11.0,0.3125
691,691.0,-9.0,0.125
692,692.0,-13.0,0.3125
693,693.0,9.0,-0.0625
694,694.0,-11.0,-0.3125
695,695.0,-13.0,-0.1875
696,696.0,-9.0,0.0
697,697.0,-13.0,-0.375
698,698.0,-15.0,-0.25
699,699.0,-13.0,-0.3125
700,700.0,-15.0,-0.3125
701,701.0,-13.0,-0.4375
702,702.0,-17.0,0.0
703,703.0,-9.0,0.0625
704,704.0,-13.0,0.0625
705,705.0,-7.0,-0.25
706,706.0,-5.0,-0.25
707,707.0,-9.0,-0.0625
708,708.0,-7.0,0.125
709,709.0,-13.0,-0.375
710,710.0,-9.0,-0.25
711,711.0,-21.0,-0.625
712,712.0,-13.0,-0.375
713,713.0,-9.0,0.25
714,714.0,-11.0,-0.1875
715,715.0,1.0,-0.0625
716,716.0,-15.0,-0.375
717,717.0,-11.0,-0.0625
718,718.0,-5.0,0.0625
719,719.0,-15.0,-0.1875
720,720.0,-15.0,-0.1875
721,721.0,-13.0,-0.25
722,722.0,-5.0,-0.1875
723,723.0,-15.0,0.125
724,724.0,-7.0,0.125
725,725.0,-7.0,0.3125
726,726.0,-15.0,0.375
727,727.0,-17.0,0.1875
728,728.0,-13.0,-0.1875
729,729.0,-9.0,0.0625
730,730.0,-3.0,0.1875
731,731.0,-5.0,-0.3125
732,732.0,-7.0,-0.0625
733,733.0,-15.0,0.0625
734,734.0,-17.0,-0.125
735,735.0,-15.0,-0.0625
736,736.0,-5.0,0.125
737,737.0,-9.0,-0.1875
738,738.0,-11.0,-0.25
739,739.0,-5.0,0.0
740,740.0,-13.0,-0.25
741,741.0,-21.0,-0.4375
742,742.0,-9.0,0.0625
743,743.0,-11.0,0.1875
744,744.0,-9.0,0.125
745,745.0,-7.0,-0.1875
746,746.0,-5.0,0.25
747,747.0,-13.0,0.3125
748,748.0,-15.0,0.4375
749,749.0,-13.0,0.5
750,750.0,-15.0,0.375
751,751.0,-13.0,0.3125
752,752.0,-11.0,0.125
753,753.0,-19.0,0.4375
754,754.0,-9.0,0.1875
755,755.0,-7.0,-0.1875
756,756.0,-17.0,-0.375
757,757.0,-13.0,-0.5
758,758.0,-5.0,-0.25
759,759.0,-13.0,-0.25
760,760.0,-13.0,0.0
761,761.0,-7.0,0.25
762,762.0,-5.0,0.0
763,763.0,-11.0,0.25
764,764.0,-15.0,0.5625
765,765.0,-17.0,0.5625
766,766.0,-7.0,0.1875
767,767.0,-7.0,-0.1875
768,768.0,-7.0,-0.25
769,769.0,-13.0,-0.1875
770,770.0,-13.0,-0.25
771,771.0,-15.0,-0.4375
772,772.0,-7.0,-0.375
773,773.0,-19.0,0.1875
774,774.0,-5.0,0.0625
775,775.0,-15.0,-0.0625
776,776.0,-9.0,0.0
777,777.0,-5.0,-0.1875
778,778.0,-7.0,-0.0625
779,779.0,-11.0,-0.25
780,780.0,-13.0,-0.25
781,781.0,-7.0,-0.25
782,782.0,-11.0,-0.25
783,783.0,-13.0,-0.4375
784,784.0,-13.0,-0.125
785,785.0,-9.0,-0.0625
786,786.0,-17.0,-0.25
787,787.0,-17.0,-0.375
788,788.0,-13.0,-0.4375
789,789.0,-13.0,-0.4375
790,790.0,-13.0,-0.5
791,791.0,-9.0,-0.125
792,792.0,-3.0,-0.25
793,793.0,-21.0,-0.375
794,794.0,-19.0,-0.1875
795,795.0,-13.0,0.0625
796,796.0,-5.0,-0.25
797,797.0,-9.0,-0.4375
798,798.0,-7.0,-0.1875
799,799.0,-7.0,-0.0625
800,800.0,-7.0,0.1875
801,801.0,-13.0,-0.0625
802,802.0,-11.0,-0.3125
803,803.0,-17.0,-0.125
804,804.0,-15.0,-0.25
805,805.0,-15.0,-0.1875
806,806.0,-3.0,0.0
807,807.0,-11.0,0.125
808,808.0,-11.0,0.0
809,809.0,-13.0,-0.4375
810,810.0,-13.0,-0.4375
811,811.0,-1.0,-0.0625
812,812.0,-7.0,-0.0625
813,813.0,-9.0,-0.125
814,814.0,-7.0,-0.0625
815,815.0,-7.0,-0.375
816,816.0,-9.0,-0.25
817,817.0,-13.0,0.0625
818,818.0,-9.0,-0.1875
819,819.0,-17.0,-0.3125
820,820.0,-13.0,-0.4375
821,821.0,-17.0,-0.3125
822,822.0,-13.0,-0.375
823,823.0,-19.0,-0.5
824,824.0,-9.0,-0.4375
825,825.0,-7.0,-0.3125
826,826.0,-15.0,-0.375
827,827.0,-1.0,-0.1875
828,828.0,-11.0,-0.1875
829,829.0,-15.0,-0.0625
830,830.0,-11.0,0.125
831,831.0,-27.0,0.875
832,832.0,-19.0,0.4375
833,833.0,-9.0,0.25
834,834.0,-9.0,0.1875
835,835.0,-21.0,0.75
836,836.0,-15.0,0.5625
837,837.0,-29.0,0.9375
838,838.0,-11.0,0.5625
839,839.0,-17.0,0.5625
840,840.0,-11.0,0.3125
841,841.0,-7.0,0.375
842,842.0,-17.0,0.5
843,843.0,-23.0,0.8125
844,844.0,-13.0,0.25
845,845.0,-13.0,0.125
846,846.0,-15.0,-0.0625
847,847.0,-9.0,0.0
848,848.0,-13.0,0.1875
849,849.0,-9.0,0.5
850,850.0,-19.0,0.4375
851,851.0,-19.0,0.4375
852,852.0,-11.0,0.1875
853,853.0,-15.0,0.4375
854,854.0,-15.0,0.3125
855,855.0,-13.0,0.4375
856,856.0,-19.0,0.5
857,857.0,-7.0,0.1875
858,858.0,-11.0,0.3125
859,859.0,-11.0,0.0625
860,860.0,-13.0,0.1875
861,861.0,-17.0,0.3125
862,862.0,-13.0,0.5
863,863.0,-19.0,0.5625
864,864.0,-13.0,0.5
865,865.0,-13.0,0.25
866,866.0,-11.0,0.0625
867,867.0,-9.0,0.25
868,868.0,-7.0,0.25
869,869.0,-3.0,-0.0625
870,870.0,-25.0,0.625
871,871.0,-17.0,0.375
872,872.0,-11.0,0.3125
