,n_step,energy,average_magnetization
413,413.0,-53.0,-0.005
414,414.0,-49.0,0.01
415,415.0,-25.0,-0.015
416,416.0,-31.0,-0.045
417,417.0,-59.0,-0.095
418,418.0,-69.0,-0.085
419,419.0,-19.0,-0.05
420,420.0,-67.0,0.01
421,421.0,-23.0,-0.075
422,422.0,-35.0,-0.01
423,423.0,-59.0,-0.045
424,424.0,-61.0,-0.02
425,425.0,-43.0,-0.085
426,426.0,-65.0,-0.005
427,427.0,-63.0,0.045
428,428.0,-67.0,-0.055
429,429.0,-69.0,-0.03
430,430.0,-75.0,-0.115
431,431.0,-49.0,-0.05
432,432.0,-63.0,-0.045
433,433.0,-29.0,-0.015
434,434.0,-53.0,0.015
435,435.0,-45.0,0.045
436,436.0,-49.0,-0.005
437,437.0,-77.0,0.015
438,438.0,-49.0,-0.045
439,439.0,-45.0,0.0
440,440.0,-63.0,0.01
441,441.0,-63.0,0.01
442,442.0,-71.0,-0.085
443,443.0,-87.0,0.085
444,444.0,-45.0,0.0
445,445.0,-55.0,-0.03
446,446.0,-21.0,-0.12
447,447.0,-9.0,-0.1
448,448.0,-33.0,-0.05
449,449.0,-45.0,0.005
450,450.0,-29.0,-0.015
451,451.0,-89.0,0.075
452,452.0,-81.0,-0.02
453,453.0,-19.0,-0.005
454,454.0,-47.0,0.025
455,455.0,-35.0,0.025
456,456.0,-17.0,-0.055
457,457.0,-33.0,-0.045
458,458.0,-61.0,0.055
459,459.0,-43.0,0.02
460,460.0,-41.0,-0.065
461,461.0,-31.0,0.015
462,462.0,-35.0,-0.02
463,463.0,-57.0,0.09
464,464.0,-71.0,0.13
465,465.0,-57.0,0.065
466,466.0,-59.0,0.015
467,467.0,15.0,-0.02
468,468.0,-47.0,-0.01
469,469.0,-53.0,0.06
470,470.0,-49.0,0.01
471,471.0,-45.0,0.055
472,472.0,-75.0,0.075
473,473.0,-27.0,0.13
474,474.0,-13.0,-0.025
475,475.0,-51.0,0.075
476,476.0,-45.0,-0.05
477,477.0,-21.0,-0.1
478,478.0,-39.0,-0.085
479,479.0,-3.0,-0.005
480,480.0,-29.0,0.05
481,481.0,-61.0,-0.02
482,482.0,-33.0,0.04
