eigenvalue,degree,nodes_number
7.390490776158028,69,0.0
7.390490776158028,71,0.0
7.390490776158028,75,0.0
7.390490776158028,79,0.0
7.390490776158028,81,0.0
7.390490776158028,83,0.0
7.390490776158028,88,0.0
7.390490776158028,92,0.0
7.390490776158028,94,0.0
7.390490776158028,95,0.0
7.390490776158028,97,0.0
7.390490776158028,101,0.0
7.390490776158028,102,0.0
7.390490776158028,103,0.0
7.390490776158028,104,0.0
7.390490776158028,107,0.0
7.390490776158028,110,0.0
7.390490776158028,111,0.0
7.390490776158028,119,0.0
7.390490776158028,124,0.0
7.390490776158028,126,0.0
7.390490776158028,127,0.0
7.390490776158028,129,0.0
7.390490776158028,142,0.0
7.390490776158028,149,0.0
7.416867390607498,10,0.03048780487804878
7.416867390607498,11,0.0
7.416867390607498,12,0.0
7.416867390607498,13,0.0
7.416867390607498,14,0.0
7.416867390607498,15,0.0
7.416867390607498,16,0.0
7.416867390607498,17,0.0
7.416867390607498,18,0.0
7.416867390607498,19,0.0
7.416867390607498,20,0.0
7.416867390607498,21,0.0
7.416867390607498,22,0.0
7.416867390607498,23,0.0
7.416867390607498,24,0.0
7.416867390607498,25,0.0
7.416867390607498,26,0.0
7.416867390607498,27,0.0
7.416867390607498,28,0.0
7.416867390607498,29,0.0
7.416867390607498,30,0.0
7.416867390607498,31,0.0
7.416867390607498,32,0.0
7.416867390607498,33,0.0
7.416867390607498,34,0.0
7.416867390607498,35,0.0
7.416867390607498,36,0.0
7.416867390607498,37,0.0
7.416867390607498,38,0.0
7.416867390607498,39,0.0
7.416867390607498,40,0.0
7.416867390607498,41,0.0
7.416867390607498,42,0.0
7.416867390607498,43,0.0
7.416867390607498,45,0.0
7.416867390607498,46,0.0
7.416867390607498,47,0.0
7.416867390607498,48,0.0
7.416867390607498,49,0.0
7.416867390607498,50,0.0
7.416867390607498,51,0.0
7.416867390607498,52,0.0
7.416867390607498,53,0.0
7.416867390607498,54,0.0
7.416867390607498,55,0.0
7.416867390607498,56,0.0
7.416867390607498,58,0.0
7.416867390607498,61,0.0
7.416867390607498,62,0.0
7.416867390607498,64,0.0
7.416867390607498,65,0.0
7.416867390607498,68,0.0
7.416867390607498,69,0.0
7.416867390607498,71,0.0
