nodeID_from,nodeID_to,node_label_from,node_label_to
101,203,Licata,Vittoria
102,133,Lineri,Paterno
105,142,Lucca,Pistoia
105,148,Lucca,Prato Borgo Nuovo
105,177,Lucca,Tassignano-Capannori
109,115,Mantova,Modena
111,187,Mazara del Vallo,Trapani
115,132,Modena,Parma
115,138,Modena,Piacenza
115,165,Modena,Sassuolo
115,166,Modena,Sassuolo-Reggio
116,150,Modica,Ragusa
116,175,Modica,Siracusa
116,203,Modica,Vittoria
117,119,Molfetta,Monopoli
117,120,Molfetta,Montesilvano
117,137,Molfetta,Pescara
117,179,Molfetta,Termoli
117,186,Molfetta,Trani
119,120,Monopoli,Montesilvano
119,137,Monopoli,Pescara
119,179,Monopoli,Termoli
119,186,Monopoli,Trani
120,137,Montesilvano,Pescara
120,179,Montesilvano,Termoli
120,186,Montesilvano,Trani
121,171,Monza,Seregno
121,172,Monza,Sesto S.Giovanni
122,123,Napoli Centrale,Napoli Gianturco
122,141,Napoli Centrale,Pioppaino
122,145,Napoli Centrale,Portici Bellavista
122,146,Napoli Centrale,Portici Via Liberta
122,161,Napoli Centrale,San Giorgio a Cremano
122,162,Napoli Centrale,San Giorgio a Cremano-Cavalli di Bronzo Villa
122,168,Napoli Centrale,Scafati
122,176,Napoli Centrale,Somma
122,185,Napoli Centrale,Torre del Greco
122,195,Napoli Centrale,Via Sant'Antonio
122,196,Napoli Centrale,Via del Monte
123,141,Napoli Gianturco,Pioppaino
123,145,Napoli Gianturco,Portici Bellavista
123,146,Napoli Gianturco,Portici Via Liberta
123,161,Napoli Gianturco,San Giorgio a Cremano
123,162,Napoli Gianturco,San Giorgio a Cremano-Cavalli di Bronzo Villa
123,168,Napoli Gianturco,Scafati
123,176,Napoli Gianturco,Somma
123,185,Napoli Gianturco,Torre del Greco
123,195,Napoli Gianturco,Via Sant'Antonio
123,196,Napoli Gianturco,Via del Monte
124,130,Nocera Inferiore,Pagani
124,145,Nocera Inferiore,Portici Bellavista
124,146,Nocera Inferiore,Portici Via Liberta
124,160,Nocera Inferiore,Salerno
124,168,Nocera Inferiore,Scafati
124,184,Nocera Inferiore,Torre Annunziata Centrale
124,185,Nocera Inferiore,Torre del Greco
124,195,Nocera Inferiore,Via Sant'Antonio
125,152,Novara,Rho
125,173,Novara,Settimo
125,194,Novara,Vercelli
128,131,Paderno Dugnano,Palazzolo Milanese
130,145,Pagani,Portici Bellavista
130,146,Pagani,Portici Via Liberta
130,160,Pagani,Salerno
130,168,Pagani,Scafati
130,184,Pagani,Torre Annunziata Centrale
130,185,Pagani,Torre del Greco
130,195,Pagani,Via Sant'Antonio
132,138,Parma,Piacenza
132,197,Parma,Viadana Bresciana
136,153,Pesaro,Riccione
136,155,Pesaro,Rimini
136,170,Pesaro,Senigallia
137,179,Pescara,Termoli
137,186,Pescara,Trani
141,145,Pioppaino,Portici Bellavista
141,146,Pioppaino,Portici Via Liberta
141,161,Pioppaino,San Giorgio a Cremano
141,162,Pioppaino,San Giorgio a Cremano-Cavalli di Bronzo Villa
141,168,Pioppaino,Scafati
141,176,Pioppaino,Somma
141,185,Pioppaino,Torre del Greco
141,195,Pioppaino,Via Sant'Antonio
141,196,Pioppaino,Via del Monte
142,148,Pistoia,Prato Borgo Nuovo
142,177,Pistoia,Tassignano-Capannori
143,149,Pomigliano D'Arco,Pratola Ponte
144,189,Pordenone,Udine
145,146,Portici Bellavista,Portici Via Liberta
145,160,Portici Bellavista,Salerno
145,161,Portici Bellavista,San Giorgio a Cremano
145,162,Portici Bellavista,San Giorgio a Cremano-Cavalli di Bronzo Villa
145,168,Portici Bellavista,Scafati
145,176,Portici Bellavista,Somma
145,184,Portici Bellavista,Torre Annunziata Centrale
145,185,Portici Bellavista,Torre del Greco
145,195,Portici Bellavista,Via Sant'Antonio
145,196,Portici Bellavista,Via del Monte
146,160,Portici Via Liberta,Salerno
146,161,Portici Via Liberta,San Giorgio a Cremano
146,162,Portici Via Liberta,San Giorgio a Cremano-Cavalli di Bronzo Villa
146,168,Portici Via Liberta,Scafati
146,176,Portici Via Liberta,Somma
146,184,Portici Via Liberta,Torre Annunziata Centrale
146,185,Portici Via Liberta,Torre del Greco
146,195,Portici Via Liberta,Via Sant'Antonio
146,196,Portici Via Liberta,Via del Monte
148,177,Prato Borgo Nuovo,Tassignano-Capannori
150,175,Ragusa,Siracusa
150,203,Ragusa,Vittoria
151,155,Ravenna,Rimini
152,173,Rho,Settimo
152,194,Rho,Vercelli
153,155,Riccione,Rimini
153,170,Riccione,Senigallia
154,180,Rieti,Terni
155,170,Rimini,Senigallia
156,188,Rovereto,Trento
159,193,S.Dona di Piave-Jesolo,Venezia Mestre
160,168,Salerno,Scafati
160,184,Salerno,Torre Annunziata Centrale
160,185,Salerno,Torre del Greco
160,195,Salerno,Via Sant'Antonio
161,162,San Giorgio a Cremano,San Giorgio a Cremano-Cavalli di Bronzo Villa
161,168,San Giorgio a Cremano,Scafati
161,176,San Giorgio a Cremano,Somma
161,185,San Giorgio a Cremano,Torre del Greco
161,195,San Giorgio a Cremano,Via Sant'Antonio
161,196,San Giorgio a Cremano,Via del Monte
162,168,San Giorgio a Cremano-Cavalli di Bronzo Villa,Scafati
162,176,San Giorgio a Cremano-Cavalli di Bronzo Villa,Somma
162,185,San Giorgio a Cremano-Cavalli di Bronzo Villa,Torre del Greco
162,195,San Giorgio a Cremano-Cavalli di Bronzo Villa,Via Sant'Antonio
162,196,San Giorgio a Cremano-Cavalli di Bronzo Villa,Via del Monte
163,171,Saronno,Seregno
163,190,Saronno,Varese
165,166,Sassuolo,Sassuolo-Reggio
168,176,Scafati,Somma
168,184,Scafati,Torre Annunziata Centrale
168,185,Scafati,Torre del Greco
168,195,Scafati,Via Sant'Antonio
168,196,Scafati,Via del Monte
171,172,Seregno,Sesto S.Giovanni
173,194,Settimo,Vercelli
175,203,Siracusa,Vittoria
176,185,Somma,Torre del Greco
176,195,Somma,Via Sant'Antonio
176,196,Somma,Via del Monte
179,186,Termoli,Trani
184,185,Torre Annunziata Centrale,Torre del Greco
184,195,Torre Annunziata Centrale,Via Sant'Antonio
185,195,Torre del Greco,Via Sant'Antonio
185,196,Torre del Greco,Via del Monte
195,196,Via Sant'Antonio,Via del Monte
201,202,Viterbo Porta Fiorentina,Viterbo Porta Romana
