degree,eigenvalue,mean_density
13,40.0,0.0
14,10.0,0.0
14,11.0,0.003106876553438277
14,12.0,0.019068255687974
14,13.0,0.06847984458474989
14,14.0,0.10045176720701568
14,15.0,0.045481220657277
14,16.0,0.030833650551960405
14,17.0,0.016251354279523296
14,18.0,0.0018173557473875513
14,19.0,0.00866738894907909
14,20.0,0.007348438456827924
14,21.0,0.0
14,22.0,0.002012072434607646
14,23.0,0.0
14,24.0,0.0
14,25.0,0.0
14,26.0,0.0011737089201877935
14,27.0,0.0
14,28.0,0.0
14,29.0,0.0
14,30.0,0.0
14,31.0,0.0
14,32.0,0.0
14,33.0,0.0
14,34.0,0.0
14,35.0,0.0
14,36.0,0.0
14,37.0,0.0
14,38.0,0.0
14,39.0,0.0
14,40.0,0.0
15,10.0,0.0
15,11.0,0.0008650519031141869
15,12.0,0.003318250377073907
15,13.0,0.025016903313049357
15,14.0,0.05586385497595264
15,15.0,0.07720588235294117
15,16.0,0.08161102278749337
15,17.0,0.02664655605832076
15,18.0,0.018342820999367487
15,19.0,0.023378582202111618
15,20.0,0.014492753623188404
15,21.0,0.0
15,22.0,0.0028011204481792717
15,23.0,0.0010893246187363833
15,24.0,0.0
15,25.0,0.00522875816993464
15,26.0,0.0032679738562091504
15,27.0,0.0032679738562091504
15,28.0,0.0
15,29.0,0.0
15,30.0,0.0
15,31.0,0.00196078431372549
15,32.0,0.0
15,33.0,0.0
15,34.0,0.0
15,35.0,0.0
15,36.0,0.0
15,37.0,0.0
15,38.0,0.0
15,39.0,0.0
15,40.0,0.0
16,10.0,0.0
16,11.0,0.0
16,12.0,0.0013093289689034369
16,13.0,0.004035216434336023
16,14.0,0.03613006824568447
16,15.0,0.07624113475177305
16,16.0,0.07245543415756182
16,17.0,0.05128205128205127
16,18.0,0.03500343170899108
16,19.0,0.05155482815057282
16,20.0,0.03422756706753006
16,21.0,0.005065856129685917
16,22.0,0.0070921985815602835
16,23.0,0.005910165484633569
16,24.0,0.009819967266775777
16,25.0,0.0
16,26.0,0.012411347517730495
16,27.0,0.008865248226950355
16,28.0,0.0
16,29.0,0.0
16,30.0,0.0
16,31.0,0.0
16,32.0,0.0
16,33.0,0.0
16,34.0,0.0
16,35.0,0.0
16,36.0,0.0
16,37.0,0.0
16,38.0,0.0
16,39.0,0.0
16,40.0,0.0
17,10.0,0.0
17,11.0,0.0
17,12.0,0.0
17,13.0,0.0014992503748125937
17,14.0,0.015176374077112387
17,15.0,0.04800724637681159
17,16.0,0.03701527614571093
17,17.0,0.0629877369007804
17,18.0,0.058204768583450216
17,19.0,0.08862876254180602
17,20.0,0.02835538752362949
17,21.0,0.008281573498964804
17,22.0,0.009316770186335402
17,23.0,0.010869565217391304
17,24.0,0.011705685618729098
17,25.0,0.018840579710144925
17,26.0,0.018115942028985508
17,27.0,0.023550724637681163
17,28.0,0.002173913043478261
17,29.0,0.0
17,30.0,0.0
17,31.0,0.002173913043478261
17,32.0,0.004830917874396135
17,33.0,0.0
17,34.0,0.005434782608695652
17,35.0,0.0
17,36.0,0.0
17,37.0,0.0
17,38.0,0.007246376811594203
17,39.0,0.0
17,40.0,0.0
18,10.0,0.0
18,11.0,0.0
18,12.0,0.0
18,13.0,0.0005561735261401557
18,14.0,0.007303712720632989
18,15.0,0.01881720430107527
18,16.0,0.014821272885789013
18,17.0,0.07361455748552521
18,18.0,0.0853277835587929
18,19.0,0.06575682382133995
18,20.0,0.037868162692847124
18,21.0,0.04301075268817204
18,22.0,0.02918586789554531
18,23.0,0.026881720430107527
18,24.0,0.024813895781637712
18,25.0,0.04086021505376344
18,26.0,0.05107526881720429
18,27.0,0.026881720430107527
18,28.0,0.0
18,29.0,0.0
18,30.0,0.0032258064516129032
18,31.0,0.0064516129032258064
18,32.0,0.0
18,33.0,0.0
18,34.0,0.0
18,35.0,0.008064516129032258
18,36.0,0.0
18,37.0,0.0
18,38.0,0.0
18,39.0,0.008064516129032258
18,40.0,0.0
19,10.0,0.0
19,11.0,0.0
19,12.0,0.0
19,13.0,0.0014992503748125937
19,14.0,0.0008203445447087776
19,15.0,0.01539855072463768
19,16.0,0.01292596944770858
19,17.0,0.054626532887402456
19,18.0,0.07152875175315566
19,19.0,0.03678929765886288
19,20.0,0.04725897920604915
19,21.0,0.07453416149068322
19,22.0,0.06832298136645962
19,23.0,0.05555555555555555
19,24.0,0.060200668896321065
19,25.0,0.02898550724637681
19,26.0,0.08695652173913043
19,27.0,0.03260869565217391
19,28.0,0.0
19,29.0,0.0
19,30.0,0.013043478260869565
19,31.0,0.0
19,32.0,0.0
19,33.0,0.0
19,34.0,0.010869565217391304
19,35.0,0.03260869565217391
19,36.0,0.0
19,37.0,0.0
19,38.0,0.0
19,39.0,0.0
19,40.0,0.0
20,10.0,0.0
20,11.0,0.0
20,12.0,0.0
20,13.0,0.0
