,n_step,energy,average_magnetization
366,366.0,-658.0,-0.885
367,367.0,-634.0,-0.855
368,368.0,-604.0,-0.83
369,369.0,-648.0,-0.865
370,370.0,-632.0,-0.88
371,371.0,-670.0,-0.925
372,372.0,-672.0,-0.905
373,373.0,-672.0,-0.9
374,374.0,-688.0,-0.91
375,375.0,-702.0,-0.9
376,376.0,-676.0,-0.92
377,377.0,-660.0,-0.885
378,378.0,-634.0,-0.855
379,379.0,-658.0,-0.895
380,380.0,-680.0,-0.91
381,381.0,-662.0,-0.885
382,382.0,-642.0,-0.87
383,383.0,-662.0,-0.905
384,384.0,-656.0,-0.885
385,385.0,-654.0,-0.88
386,386.0,-682.0,-0.9
387,387.0,-672.0,-0.91
388,388.0,-682.0,-0.925
389,389.0,-660.0,-0.92
390,390.0,-670.0,-0.925
391,391.0,-658.0,-0.915
392,392.0,-704.0,-0.945
393,393.0,-700.0,-0.945
394,394.0,-676.0,-0.92
395,395.0,-668.0,-0.915
396,396.0,-656.0,-0.91
397,397.0,-650.0,-0.89
398,398.0,-648.0,-0.905
399,399.0,-678.0,-0.925
400,400.0,-646.0,-0.88
401,401.0,-680.0,-0.87
402,402.0,-614.0,-0.85
403,403.0,-660.0,-0.865
404,404.0,-664.0,-0.845
405,405.0,-686.0,-0.875
406,406.0,-652.0,-0.885
407,407.0,-690.0,-0.925
408,408.0,-678.0,-0.91
409,409.0,-700.0,-0.93
410,410.0,-710.0,-0.945
411,411.0,-702.0,-0.945
412,412.0,-664.0,-0.89
413,413.0,-654.0,-0.885
414,414.0,-660.0,-0.885
415,415.0,-694.0,-0.925
416,416.0,-678.0,-0.91
417,417.0,-672.0,-0.9
418,418.0,-648.0,-0.87
419,419.0,-660.0,-0.85
420,420.0,-676.0,-0.88
421,421.0,-630.0,-0.845
422,422.0,-612.0,-0.83
423,423.0,-636.0,-0.855
424,424.0,-640.0,-0.845
425,425.0,-626.0,-0.84
426,426.0,-638.0,-0.85
427,427.0,-650.0,-0.84
428,428.0,-690.0,-0.88
429,429.0,-670.0,-0.885
430,430.0,-680.0,-0.915
431,431.0,-692.0,-0.905
432,432.0,-670.0,-0.875
433,433.0,-642.0,-0.87
434,434.0,-674.0,-0.895
435,435.0,-686.0,-0.895
436,436.0,-630.0,-0.865
437,437.0,-660.0,-0.865
438,438.0,-684.0,-0.88
439,439.0,-634.0,-0.84
440,440.0,-654.0,-0.85
441,441.0,-676.0,-0.89
442,442.0,-672.0,-0.865
443,443.0,-708.0,-0.91
444,444.0,-690.0,-0.885
445,445.0,-720.0,-0.91
446,446.0,-718.0,-0.895
447,447.0,-720.0,-0.905
448,448.0,-674.0,-0.87
449,449.0,-678.0,-0.875
450,450.0,-680.0,-0.905
451,451.0,-668.0,-0.9
452,452.0,-642.0,-0.88
453,453.0,-656.0,-0.885
454,454.0,-690.0,-0.89
455,455.0,-678.0,-0.89
456,456.0,-688.0,-0.89
457,457.0,-668.0,-0.87
458,458.0,-664.0,-0.89
459,459.0,-696.0,-0.915
460,460.0,-674.0,-0.9
461,461.0,-708.0,-0.92
462,462.0,-662.0,-0.865
463,463.0,-658.0,-0.845
464,464.0,-664.0,-0.835
465,465.0,-630.0,-0.815
466,466.0,-632.0,-0.805
467,467.0,-626.0,-0.805
468,468.0,-652.0,-0.805
469,469.0,-628.0,-0.785
470,470.0,-652.0,-0.775
471,471.0,-632.0,-0.76
472,472.0,-630.0,-0.72
473,473.0,-648.0,-0.75
474,474.0,-660.0,-0.75
475,475.0,-652.0,-0.76
476,476.0,-678.0,-0.82
477,477.0,-660.0,-0.83
478,478.0,-688.0,-0.84
479,479.0,-692.0,-0.815
480,480.0,-668.0,-0.85
481,481.0,-656.0,-0.855
482,482.0,-634.0,-0.875
483,483.0,-672.0,-0.89
484,484.0,-652.0,-0.885
485,485.0,-648.0,-0.895
486,486.0,-606.0,-0.86
487,487.0,-610.0,-0.85
488,488.0,-640.0,-0.84
489,489.0,-602.0,-0.81
490,490.0,-624.0,-0.84
491,491.0,-638.0,-0.84
492,492.0,-620.0,-0.85
493,493.0,-670.0,-0.91
494,494.0,-676.0,-0.91
495,495.0,-668.0,-0.895
496,496.0,-690.0,-0.92
497,497.0,-708.0,-0.915
498,498.0,-642.0,-0.85
499,499.0,-670.0,-0.87
500,500.0,-668.0,-0.885
501,501.0,-666.0,-0.89
502,502.0,-654.0,-0.88
503,503.0,-682.0,-0.91
504,504.0,-664.0,-0.915
505,505.0,-694.0,-0.94
506,506.0,-704.0,-0.945
507,507.0,-704.0,-0.945
508,508.0,-698.0,-0.93
509,509.0,-678.0,-0.93
510,510.0,-668.0,-0.9
511,511.0,-662.0,-0.915
512,512.0,-710.0,-0.955
513,513.0,-694.0,-0.93
514,514.0,-690.0,-0.935
515,515.0,-706.0,-0.935
516,516.0,-728.0,-0.955
517,517.0,-688.0,-0.925
518,518.0,-698.0,-0.925
519,519.0,-688.0,-0.92
520,520.0,-684.0,-0.925
521,521.0,-698.0,-0.945
522,522.0,-710.0,-0.955
523,523.0,-710.0,-0.95
524,524.0,-722.0,-0.965
525,525.0,-710.0,-0.95
526,526.0,-658.0,-0.925
527,527.0,-678.0,-0.92
528,528.0,-684.0,-0.915
529,529.0,-686.0,-0.925
530,530.0,-714.0,-0.965
531,531.0,-694.0,-0.935
532,532.0,-696.0,-0.94
533,533.0,-680.0,-0.94
534,534.0,-666.0,-0.91
535,535.0,-684.0,-0.92
536,536.0,-670.0,-0.915
537,537.0,-676.0,-0.93
538,538.0,-642.0,-0.895
539,539.0,-668.0,-0.9
540,540.0,-660.0,-0.9
541,541.0,-660.0,-0.895
542,542.0,-678.0,-0.92
543,543.0,-666.0,-0.905
544,544.0,-650.0,-0.885
545,545.0,-670.0,-0.9
546,546.0,-694.0,-0.925
547,547.0,-710.0,-0.935
548,548.0,-706.0,-0.955
549,549.0,-658.0,-0.905
550,550.0,-652.0,-0.9
551,551.0,-666.0,-0.91
552,552.0,-636.0,-0.895
553,553.0,-640.0,-0.91
554,554.0,-708.0,-0.955
555,555.0,-690.0,-0.945
556,556.0,-710.0,-0.96
557,557.0,-710.0,-0.96
558,558.0,-708.0,-0.965
559,559.0,-688.0,-0.93
560,560.0,-666.0,-0.93
561,561.0,-678.0,-0.935
562,562.0,-674.0,-0.92
563,563.0,-666.0,-0.92
564,564.0,-674.0,-0.915
565,565.0,-686.0,-0.93
566,566.0,-716.0,-0.965
567,567.0,-708.0,-0.965
568,568.0,-728.0,-0.975
569,569.0,-698.0,-0.95
570,570.0,-714.0,-0.955
571,571.0,-644.0,-0.905
572,572.0,-624.0,-0.86
573,573.0,-656.0,-0.895
574,574.0,-678.0,-0.93
575,575.0,-690.0,-0.945
576,576.0,-702.0,-0.955
577,577.0,-710.0,-0.955
578,578.0,-686.0,-0.94
579,579.0,-680.0,-0.915
580,580.0,-674.0,-0.91
581,581.0,-654.0,-0.895
582,582.0,-630.0,-0.88
583,583.0,-658.0,-0.905
584,584.0,-608.0,-0.84
585,585.0,-636.0,-0.875
586,586.0,-694.0,-0.925
587,587.0,-680.0,-0.92
588,588.0,-652.0,-0.885
589,589.0,-684.0,-0.91
590,590.0,-698.0,-0.935
591,591.0,-698.0,-0.94
592,592.0,-682.0,-0.905
593,593.0,-662.0,-0.91
594,594.0,-642.0,-0.885
595,595.0,-668.0,-0.885
596,596.0,-672.0,-0.92
597,597.0,-678.0,-0.905
598,598.0,-712.0,-0.93
599,599.0,-718.0,-0.96
600,600.0,-684.0,-0.94
601,601.0,-690.0,-0.945
602,602.0,-700.0,-0.95
603,603.0,-714.0,-0.96
604,604.0,-694.0,-0.94
605,605.0,-704.0,-0.95
606,606.0,-694.0,-0.945
607,607.0,-682.0,-0.935
608,608.0,-662.0,-0.915
609,609.0,-632.0,-0.9
610,610.0,-672.0,-0.92
611,611.0,-670.0,-0.89
612,612.0,-672.0,-0.905
613,613.0,-634.0,-0.855
614,614.0,-640.0,-0.87
615,615.0,-658.0,-0.91
616,616.0,-678.0,-0.925
617,617.0,-686.0,-0.945
618,618.0,-672.0,-0.94
619,619.0,-696.0,-0.955
620,620.0,-696.0,-0.95
621,621.0,-662.0,-0.915
622,622.0,-646.0,-0.885
623,623.0,-636.0,-0.87
624,624.0,-636.0,-0.875
625,625.0,-638.0,-0.885
626,626.0,-692.0,-0.95
627,627.0,-668.0,-0.925
628,628.0,-670.0,-0.92
629,629.0,-704.0,-0.95
630,630.0,-682.0,-0.93
631,631.0,-658.0,-0.895
632,632.0,-650.0,-0.89
633,633.0,-652.0,-0.89
634,634.0,-664.0,-0.9
635,635.0,-640.0,-0.855
636,636.0,-690.0,-0.9
637,637.0,-686.0,-0.89
638,638.0,-678.0,-0.935
639,639.0,-684.0,-0.935
640,640.0,-664.0,-0.885
641,641.0,-674.0,-0.915
642,642.0,-626.0,-0.87
643,643.0,-648.0,-0.865
644,644.0,-648.0,-0.85
645,645.0,-674.0,-0.855
646,646.0,-676.0,-0.84
647,647.0,-652.0,-0.84
648,648.0,-688.0,-0.875
649,649.0,-674.0,-0.88
650,650.0,-674.0,-0.855
651,651.0,-672.0,-0.845
652,652.0,-702.0,-0.89
653,653.0,-688.0,-0.9
654,654.0,-632.0,-0.835
655,655.0,-664.0,-0.83
656,656.0,-656.0,-0.845
657,657.0,-670.0,-0.88
658,658.0,-660.0,-0.82
659,659.0,-666.0,-0.85
660,660.0,-660.0,-0.84
661,661.0,-674.0,-0.85
662,662.0,-684.0,-0.85
663,663.0,-686.0,-0.88
664,664.0,-656.0,-0.86
665,665.0,-640.0,-0.84
666,666.0,-670.0,-0.855
667,667.0,-678.0,-0.875
668,668.0,-682.0,-0.875
669,669.0,-696.0,-0.875
670,670.0,-684.0,-0.89
671,671.0,-704.0,-0.92
672,672.0,-700.0,-0.895
673,673.0,-696.0,-0.875
674,674.0,-696.0,-0.895
675,675.0,-674.0,-0.855
676,676.0,-664.0,-0.835
677,677.0,-632.0,-0.805
678,678.0,-658.0,-0.845
679,679.0,-672.0,-0.855
680,680.0,-680.0,-0.865
681,681.0,-642.0,-0.795
682,682.0,-604.0,-0.81
683,683.0,-662.0,-0.845
684,684.0,-632.0,-0.81
685,685.0,-652.0,-0.81
686,686.0,-630.0,-0.795
687,687.0,-642.0,-0.805
688,688.0,-632.0,-0.8
689,689.0,-634.0,-0.745
690,690.0,-670.0,-0.775
691,691.0,-678.0,-0.8
692,692.0,-678.0,-0.825
693,693.0,-684.0,-0.825
694,694.0,-660.0,-0.8
695,695.0,-650.0,-0.82
696,696.0,-676.0,-0.84
697,697.0,-676.0,-0.89
698,698.0,-674.0,-0.895
699,699.0,-684.0,-0.87
700,700.0,-692.0,-0.905
701,701.0,-666.0,-0.87
702,702.0,-652.0,-0.865
703,703.0,-648.0,-0.855
704,704.0,-658.0,-0.845
705,705.0,-668.0,-0.865
706,706.0,-652.0,-0.865
707,707.0,-636.0,-0.815
708,708.0,-674.0,-0.91
709,709.0,-684.0,-0.92
710,710.0,-664.0,-0.895
711,711.0,-694.0,-0.945
712,712.0,-684.0,-0.94
713,713.0,-726.0,-0.97
714,714.0,-722.0,-0.965
715,715.0,-690.0,-0.94
716,716.0,-698.0,-0.94
717,717.0,-700.0,-0.94
718,718.0,-692.0,-0.94
719,719.0,-676.0,-0.895
720,720.0,-662.0,-0.86
721,721.0,-656.0,-0.875
722,722.0,-692.0,-0.89
723,723.0,-698.0,-0.9
724,724.0,-694.0,-0.905
725,725.0,-706.0,-0.93
726,726.0,-680.0,-0.915
727,727.0,-650.0,-0.885
728,728.0,-640.0,-0.875
729,729.0,-650.0,-0.89
730,730.0,-670.0,-0.905
731,731.0,-680.0,-0.91
732,732.0,-682.0,-0.915
733,733.0,-682.0,-0.94
734,734.0,-682.0,-0.93
735,735.0,-650.0,-0.89
736,736.0,-654.0,-0.88
737,737.0,-670.0,-0.89
738,738.0,-672.0,-0.91
739,739.0,-678.0,-0.915
740,740.0,-650.0,-0.87
741,741.0,-648.0,-0.88
742,742.0,-684.0,-0.925
743,743.0,-692.0,-0.93
744,744.0,-672.0,-0.925
745,745.0,-670.0,-0.905
746,746.0,-654.0,-0.905
747,747.0,-678.0,-0.9
748,748.0,-670.0,-0.9
749,749.0,-680.0,-0.915
750,750.0,-694.0,-0.93
751,751.0,-696.0,-0.925
752,752.0,-658.0,-0.89
753,753.0,-630.0,-0.855
754,754.0,-636.0,-0.86
755,755.0,-656.0,-0.885
756,756.0,-676.0,-0.9
757,757.0,-678.0,-0.875
758,758.0,-680.0,-0.905
759,759.0,-676.0,-0.9
760,760.0,-660.0,-0.87
761,761.0,-670.0,-0.88
762,762.0,-692.0,-0.925
763,763.0,-652.0,-0.905
764,764.0,-664.0,-0.915
